symbol,direction,setup_type,kill_zone,exit_reason,hour_utc,day_of_week,week_of_month,month,is_monday,is_friday,is_gbpusd_sell,is_usdjpy_buy,is_eurusd,direction_aligned,outcome_binary,outcome_pips
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,15,4,3,11,0,1,0,1,0,1,0,-47.10000000000037
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,4,3,11,0,1,0,1,0,1,1,28.899999999998727
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,4,3,11,0,1,0,0,0,0,1,16.29999999999825
USDJPY,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,2,3,11,0,0,0,0,0,0,1,46.48512000000153
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,2,4,11,0,0,0,1,0,1,1,29.400000000001118
USDJPY,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,3,4,11,0,0,0,0,0,0,1,26.300000000000523
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,6,2,1,12,0,0,0,0,0,0,0,-38.11589999999683
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,3,1,12,0,0,0,0,0,0,1,11.400000000000432
USDJPY,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,1,2,12,0,0,0,1,0,1,1,48.599999999999
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,GIVEBACK_GUARD,9,2,2,12,0,0,0,0,0,0,1,16.159999999999286
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,15,2,2,12,0,0,0,0,0,0,0,-90.8826999999974
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,GIVEBACK_GUARD,9,4,2,12,0,1,0,1,0,1,1,26.599999999999117
USDJPY,BUY,CHOCH,LONDON_CLOSE,SL_HIT,15,1,3,12,0,0,0,1,0,1,0,-53.23520000000315
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,3,12,0,0,0,1,0,1,1,26.099999999999568
USDJPY,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,1,5,12,0,0,0,1,0,1,1,61.40000000000043
USDJPY,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,3,1,1,0,0,0,1,0,1,1,51.99999999999818
USDJPY,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,17,4,1,1,0,1,0,1,0,1,1,32.69999999999982
USDJPY,SELL,CHOCH,LONDON_CLOSE,SL_HIT,16,0,1,1,1,0,0,0,0,0,0,-148.2906000000014
USDJPY,SELL,CHOCH,NY_OPEN,SL_HIT,13,4,2,1,0,1,0,0,0,0,0,-64.3874000000011
