symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
USDJPY,SELL,CHOCH,155.70400,155.89600,153.90344,0.920,2025-01-22 12:00,2025-01-22 15:35,155.89600,SL_HIT,-19.20,-0.27,NY_OPEN,NEUTRAL,True,,False,2,False,0.00
AUDUSD,BUY,CHOCH,0.62851,0.62867,0.63974,0.820,2025-01-22 12:00,2025-01-22 12:55,0.62867,TRAILED_SL,1.60,0.04,NY_OPEN,BUY,True,,True,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.62813,0.62714,0.63251,0.750,2025-01-22 15:30,2025-01-22 16:30,0.62714,SL_HIT,-9.90,-0.53,LONDON_CLOSE,BUY,True,,False,1,False,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.23436,1.23290,1.23856,1.000,2025-01-22 15:40,2025-01-22 16:30,1.23290,SL_HIT,-14.60,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.23175,1.23210,1.24549,1.000,2025-01-23 12:05,2025-01-23 12:45,1.23234,GIVEBACK_GUARD,6.14,19.49,NY_OPEN,BUY,True,,True,1,True,36.83
GBPUSD,BUY,CHOCH,1.23204,1.23206,1.24504,0.920,2025-01-23 12:45,2025-01-23 13:10,1.23206,TRAILED_SL,2.36,0.05,NY_OPEN,BUY,True,,True,1,True,0.00
GBPUSD,BUY,CHOCH,1.23244,1.23166,1.24682,1.000,2025-01-23 13:20,2025-01-23 13:45,1.23166,SL_HIT,-7.80,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.23100,1.23106,1.24070,1.000,2025-01-23 13:50,2025-01-23 15:10,1.23101,GIVEBACK_GUARD,6.70,12.07,NY_OPEN,BUY,True,,True,0,True,11.35
AUDUSD,BUY,CHOCH,0.62690,0.62693,0.63353,0.920,2025-01-23 14:45,2025-01-23 17:15,0.62693,TRAILED_SL,3.97,0.15,NY_OPEN,BUY,True,,True,1,True,0.00
AUDUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,0.63066,0.63070,0.63276,0.970,2025-01-24 15:30,2025-01-24 16:55,0.63070,TRAILED_SL,5.21,12.40,LONDON_CLOSE,BUY,True,,True,0,True,5.24
GBPUSD,BUY,CHOCH,1.24939,1.24982,1.27260,0.920,2025-01-27 12:10,2025-01-27 16:50,1.24982,TRAILED_SL,4.30,0.05,NY_OPEN,NEUTRAL,True,,True,1,False,0.00
AUDUSD,BUY,CHOCH,0.62974,0.62974,0.63800,0.920,2025-01-27 13:15,2025-01-27 15:15,0.62974,TRAILED_SL,0.37,0.01,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,153.92200,154.00300,155.11828,1.000,2025-01-27 13:30,2025-01-27 14:50,154.00300,TRAILED_SL,8.28,0.30,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.62904,0.62844,0.63060,0.850,2025-01-27 15:15,2025-01-27 16:40,0.62844,SL_HIT,-6.00,-0.77,LONDON_CLOSE,BUY,True,,False,1,False,0.00
