symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,BUY,FVG_CONTINUATION,1.22672,1.22503,1.24024,0.780,2025-01-15 16:55,2025-01-15 17:45,1.22503,SL_HIT,-16.90,-0.31,LONDON_CLOSE,SELL,True,,False,1,False,0.00
USDJPY,SELL,CONTINUATION_OB,156.03300,156.11700,153.89741,0.980,2025-01-16 07:05,2025-01-16 08:00,156.11700,SL_HIT,-8.40,-0.12,LONDON_OPEN,NEUTRAL,True,,False,1,False,0.00
GBPUSD,BUY,CHOCH,1.22096,1.22029,1.23208,0.920,2025-01-16 13:45,2025-01-16 14:25,1.22029,SL_HIT,-6.70,-0.15,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.98600,156.13500,154.66761,0.950,2025-01-16 15:40,2025-01-16 16:50,156.13500,SL_HIT,-14.90,-0.28,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,CHOCH,156.24700,156.24875,158.37554,0.820,2025-01-20 09:00,2025-01-20 12:00,156.24875,TRAILED_SL,1.84,0.02,LONDON_OPEN,SELL,True,,True,3,True,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.21963,1.21962,1.21434,0.950,2025-01-20 13:20,2025-01-20 15:30,1.21962,TRAILED_SL,1.52,0.14,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.88000,155.70000,154.24582,1.000,2025-01-20 15:30,2025-01-20 16:40,155.70000,TRAILED_SL,11.10,0.18,LONDON_CLOSE,SELL,True,,True,2,True,0.00
USDJPY,SELL,CHOCH,155.42300,155.73500,152.02065,1.000,2025-01-20 16:40,2025-01-20 17:15,155.73500,SL_HIT,-31.20,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.22780,1.22778,1.22696,0.750,2025-01-21 15:45,2025-01-21 15:55,1.22778,TRAILED_SL,1.90,10.50,LONDON_CLOSE,NEUTRAL,True,,True,0,True,0.00
GBPUSD,SELL,FVG_CONTINUATION,1.22858,1.22853,1.21503,0.930,2025-01-21 16:15,2025-01-21 17:10,1.22853,TRAILED_SL,4.99,0.51,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.54200,155.47200,156.56784,1.000,2025-01-21 16:45,2025-01-21 17:25,155.47200,SL_HIT,-7.00,-0.30,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.23354,1.23167,1.23822,0.970,2025-01-22 08:20,2025-01-22 08:50,1.23167,SL_HIT,-18.73,-1.00,LONDON_OPEN,BUY,True,,False,0,False,0.00
USDJPY,SELL,CHOCH,155.70400,156.04200,153.90344,0.920,2025-01-22 12:00,2025-01-22 14:30,156.04200,SL_HIT,-33.80,-0.47,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.23436,1.23350,1.23856,0.850,2025-01-22 15:35,2025-01-22 16:10,1.23350,SL_HIT,-8.60,-0.37,LONDON_CLOSE,BUY,True,,False,1,False,0.00
GBPUSD,BUY,CHOCH,1.23175,1.23220,1.24549,1.000,2025-01-23 12:05,2025-01-23 12:50,1.23220,TRAILED_SL,5.40,17.14,NY_OPEN,BUY,True,,True,1,True,36.83
GBPUSD,BUY,CHOCH,1.23204,1.23205,1.24504,0.920,2025-01-23 12:50,2025-01-23 13:10,1.23205,TRAILED_SL,1.47,0.03,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,SELL,FVG_CONTINUATION,156.40000,156.41200,155.52281,0.930,2025-01-23 13:00,2025-01-23 15:00,156.41200,SL_HIT,-1.20,-0.03,NY_OPEN,NEUTRAL,True,,False,3,False,0.00
GBPUSD,BUY,CHOCH,1.23244,1.23166,1.24682,1.000,2025-01-23 13:20,2025-01-23 13:45,1.23166,SL_HIT,-7.80,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.23100,1.23106,1.24070,1.000,2025-01-23 13:50,2025-01-23 15:10,1.23101,GIVEBACK_GUARD,5.60,10.09,NY_OPEN,BUY,True,,True,0,True,11.35
USDJPY,SELL,CHOCH,155.14200,155.47400,151.17743,0.820,2025-01-24 07:00,2025-01-24 08:40,155.47400,SL_HIT,-33.20,-0.21,LONDON_OPEN,NEUTRAL,True,,False,1,False,0.00
